city;state_id;state_name;county_name;lat;lng
New York;NY;New York;Queens;40,6943;-73,9249
Los Angeles;CA;California;Los Angeles;34,1141;-118,4068
Chicago;IL;Illinois;Cook;41,8375;-87,6866
Miami;FL;Florida;Miami-Dade;25,784;-80,2101
Houston;TX;Texas;Harris;29,786;-95,3885
Dallas;TX;Texas;Dallas;32,7935;-96,7667
Philadelphia;PA;Pennsylvania;Philadelphia;40,0077;-75,1339
Atlanta;GA;Georgia;Fulton;33,7628;-84,422
Washington;DC;District of Columbia;District of Columbia;38,9047;-77,0163
Boston;MA;Massachusetts;Suffolk;42,3188;-71,0852
Phoenix;AZ;Arizona;Maricopa;33,5722;-112,0892
Detroit;MI;Michigan;Wayne;42,3834;-83,1024
Seattle;WA;Washington;King;47,6211;-122,3244
San Francisco;CA;California;San Francisco;37,7558;-122,4449
San Diego;CA;California;San Diego;32,8313;-117,1222
Minneapolis;MN;Minnesota;Hennepin;44,9635;-93,2678
Tampa;FL;Florida;Hillsborough;27,9945;-82,4447
Brooklyn;NY;New York;Kings;40,6501;-73,9496
Denver;CO;Colorado;Denver;39,762;-104,8758
Queens;NY;New York;Queens;40,7498;-73,7976
Riverside;CA;California;Riverside;33,9381;-117,3949
Las Vegas;NV;Nevada;Clark;36,2333;-115,2654
Baltimore;MD;Maryland;Baltimore;39,3051;-76,6144
St. Louis;MO;Missouri;St. Louis;38,6359;-90,2451
Portland;OR;Oregon;Multnomah;45,5371;-122,65
San Antonio;TX;Texas;Bexar;29,4632;-98,5238
Sacramento;CA;California;Sacramento;38,5677;-121,4685
Austin;TX;Texas;Travis;30,3005;-97,7522
Orlando;FL;Florida;Orange;28,4773;-81,337
San Juan;PR;Puerto Rico;San Juan;18,3985;-66,061
San Jose;CA;California;Santa Clara;37,3012;-121,848
Indianapolis;IN;Indiana;Marion;39,7771;-86,1458
Pittsburgh;PA;Pennsylvania;Allegheny;40,4397;-79,9763
Cincinnati;OH;Ohio;Hamilton;39,1413;-84,506
Manhattan;NY;New York;New York;40,7834;-73,9662
Kansas City;MO;Missouri;Jackson;39,1238;-94,5541
Cleveland;OH;Ohio;Cuyahoga;41,4764;-81,6805
Columbus;OH;Ohio;Franklin;39,9862;-82,9855
Bronx;NY;New York;Bronx;40,8501;-73,8662
Charlotte;NC;North Carolina;Mecklenburg;35,2083;-80,8303
Virginia Beach;VA;Virginia;Virginia Beach;36,7335;-76,0435
Jacksonville;FL;Florida;Duval;30,3322;-81,6749
Milwaukee;WI;Wisconsin;Milwaukee;43,0642;-87,9675
Providence;RI;Rhode Island;Providence;41,823;-71,4187
Nashville;TN;Tennessee;Davidson;36,1715;-86,7842
Salt Lake City;UT;Utah;Salt Lake;40,7776;-111,9311
Raleigh;NC;North Carolina;Wake;35,8324;-78,6429
Richmond;VA;Virginia;Richmond;37,5295;-77,4756
Memphis;TN;Tennessee;Shelby;35,1087;-89,9663
Oklahoma City;OK;Oklahoma;Oklahoma;35,4676;-97,5136
Hartford;CT;Connecticut;Capitol;41,7661;-72,6834
Louisville;KY;Kentucky;Jefferson;38,1663;-85,6485
Buffalo;NY;New York;Erie;42,9018;-78,8487
Fort Worth;TX;Texas;Tarrant;32,7817;-97,3474
Bridgeport;CT;Connecticut;Greater Bridgeport;41,1918;-73,1954
New Orleans;LA;Louisiana;Orleans;30,0687;-89,9288
Tucson;AZ;Arizona;Pima;32,1541;-110,8787
El Paso;TX;Texas;El Paso;31,8476;-106,43
Omaha;NE;Nebraska;Douglas;41,2627;-96,0529
McAllen;TX;Texas;Hidalgo;26,2252;-98,2467
Birmingham;AL;Alabama;Jefferson;33,5279;-86,7971
Albuquerque;NM;New Mexico;Bernalillo;35,1054;-106,6465
Tulsa;OK;Oklahoma;Tulsa;36,1283;-95,9042
Charleston;SC;South Carolina;Charleston;32,8168;-79,9687
Fresno;CA;California;Fresno;36,783;-119,7939
Rochester;NY;New York;Monroe;43,168;-77,6162
Dayton;OH;Ohio;Montgomery;39,7805;-84,2003
Cape Coral;FL;Florida;Lee;26,6443;-81,9957
Provo;UT;Utah;Utah;40,2457;-111,6457
Colorado Springs;CO;Colorado;El Paso;38,8674;-104,7605
Mission Viejo;CA;California;Orange;33,6096;-117,6551
Allentown;PA;Pennsylvania;Lehigh;40,5961;-75,4756
Baton Rouge;LA;Louisiana;East Baton Rouge;30,442;-91,1311
Ogden;UT;Utah;Weber;41,2279;-111,9682
Knoxville;TN;Tennessee;Knox;35,9692;-83,9496
Grand Rapids;MI;Michigan;Kent;42,9619;-85,6562
Columbia;SC;South Carolina;Richland;34,0378;-80,9036
Albany;NY;New York;Albany;42,6664;-73,7987
Bakersfield;CA;California;Kern;35,3529;-119,0359
New Haven;CT;Connecticut;South Central Connecticut;41,3113;-72,9246
Des Moines;IA;Iowa;Polk;41,5725;-93,6105
Palm Bay;FL;Florida;Brevard;27,9631;-80,6593
Akron;OH;Ohio;Summit;41,0798;-81,5219
Concord;CA;California;Contra Costa;37,9722;-122,0016
Mesa;AZ;Arizona;Maricopa;33,4015;-111,7178
Wichita;KS;Kansas;Sedgwick;37,6895;-97,3443
Harrisburg;PA;Pennsylvania;Dauphin;40,2752;-76,8843
Staten Island;NY;New York;Richmond;40,5834;-74,1496
Toledo;OH;Ohio;Lucas;41,6638;-83,5827
Worcester;MA;Massachusetts;Worcester;42,2705;-71,8079
Port St. Lucie;FL;Florida;St. Lucie;27,2796;-80,3884
Little Rock;AR;Arkansas;Pulaski;34,7256;-92,3577
Madison;WI;Wisconsin;Dane;43,0822;-89,393
Spokane;WA;Washington;Spokane;47,6671;-117,433
Long Beach;CA;California;Los Angeles;33,7977;-118,167
Denton;TX;Texas;Denton;33,2175;-97,1418
Reno;NV;Nevada;Washoe;39,5497;-119,8483
Boise;ID;Idaho;Ada;43,6005;-116,2308
Bonita Springs;FL;Florida;Lee;26,3558;-81,7859
Kissimmee;FL;Florida;Osceola;28,3041;-81,4169
Augusta;GA;Georgia;Richmond;33,3645;-82,0708
Springfield;MA;Massachusetts;Hampden;42,1155;-72,5395
Oakland;CA;California;Alameda;37,7904;-122,2166
Winston-Salem;NC;North Carolina;Forsyth;36,1029;-80,261
Stockton;CA;California;San Joaquin;37,9765;-121,3109
Durham;NC;North Carolina;Durham;35,9792;-78,9022
Chattanooga;TN;Tennessee;Hamilton;35,066;-85,2481
Greenville;SC;South Carolina;Greenville;34,8354;-82,3646
Lancaster;PA;Pennsylvania;Lancaster;40,042;-76,3012
Syracuse;NY;New York;Onondaga;43,0407;-76,1437
Fayetteville;AR;Arkansas;Washington;36,0714;-94,1661
Pensacola;FL;Florida;Escambia;30,4413;-87,1911
Arlington;TX;Texas;Tarrant;32,6998;-97,125
Aurora;CO;Colorado;Arapahoe;39,7083;-104,7237
Scranton;PA;Pennsylvania;Lackawanna;41,4044;-75,6649
Oxnard;CA;California;Ventura;34,1964;-119,1815
Indio;CA;California;Riverside;33,7346;-116,2346
Victorville;CA;California;San Bernardino;34,5277;-117,3536
Trenton;NJ;New Jersey;Mercer;40,2237;-74,7641
Huntsville;AL;Alabama;Madison;34,6981;-86,6412
Modesto;CA;California;Stanislaus;37,6375;-121,0028
Honolulu;HI;Hawaii;Honolulu;21,3294;-157,846
Greensboro;NC;North Carolina;Guilford;36,0956;-79,8271
Fort Wayne;IN;Indiana;Allen;41,0888;-85,1436
Anaheim;CA;California;Orange;33,839;-117,8574
Corpus Christi;TX;Texas;Nueces;27,7254;-97,3767
Fort Collins;CO;Colorado;Larimer;40,5477;-105,0656
Antioch;CA;California;Contra Costa;37,9787;-121,796
Jackson;MS;Mississippi;Hinds;32,3157;-90,2125
Fayetteville;NC;North Carolina;Cumberland;35,085;-78,9772
Myrtle Beach;SC;South Carolina;Horry;33,7094;-78,8844
Henderson;NV;Nevada;Clark;36,0133;-115,0381
Mobile;AL;Alabama;Mobile;30,6782;-88,1162
Lexington;KY;Kentucky;Fayette;38,0423;-84,4587
Lansing;MI;Michigan;Ingham;42,7142;-84,5601
Savannah;GA;Georgia;Chatham;32,0286;-81,1821
Youngstown;OH;Ohio;Mahoning;41,0993;-80,6463
Ann Arbor;MI;Michigan;Washtenaw;42,2759;-83,731
Santa Ana;CA;California;Orange;33,7367;-117,8819
Irvine;CA;California;Orange;33,6772;-117,7738
St. Paul;MN;Minnesota;Ramsey;44,9478;-93,1039
Poughkeepsie;NY;New York;Dutchess;41,695;-73,9211
Newark;NJ;New Jersey;Essex;40,7245;-74,1725
Santa Rosa;CA;California;Sonoma;38,4458;-122,7067
Concord;NC;North Carolina;Cabarrus;35,3933;-80,6369
Winter Haven;FL;Florida;Polk;28,0118;-81,7014
Asheville;NC;North Carolina;Buncombe;35,5707;-82,5537
Canton;OH;Ohio;Stark;40,8078;-81,3676
Lincoln;NE;Nebraska;Lancaster;40,8099;-96,6784
Flint;MI;Michigan;Genesee;43,0236;-83,6921
Lakeland;FL;Florida;Polk;28,0557;-81,9545
Jersey City;NJ;New Jersey;Hudson;40,7184;-74,0686
Anchorage;AK;Alaska;Anchorage;61,1508;-149,1091
Springfield;MO;Missouri;Greene;37,1943;-93,2916
Plano;TX;Texas;Collin;33,0502;-96,7486
Lubbock;TX;Texas;Lubbock;33,5657;-101,8879
Davenport;IA;Iowa;Scott;41,5565;-90,6053
Reading;PA;Pennsylvania;Berks;40,34;-75,9267
Shreveport;LA;Louisiana;Caddo;32,4653;-93,7955
Chandler;AZ;Arizona;Maricopa;33,2825;-111,8514
South Bend;IN;Indiana;St. Joseph;41,6767;-86,2696
Wilmington;NC;North Carolina;New Hanover;34,2099;-77,8866
Chula Vista;CA;California;San Diego;32,6281;-117,0144
Rockford;IL;Illinois;Winnebago;42,2596;-89,064
Eugene;OR;Oregon;Lane;44,0564;-123,1174
Salem;OR;Oregon;Marion;44,9233;-123,0244
Gilbert;AZ;Arizona;Maricopa;33,31;-111,7463
North Las Vegas;NV;Nevada;Clark;36,2883;-115,0888
Santa Clarita;CA;California;Los Angeles;34,4175;-118,4964
Peoria;IL;Illinois;Peoria;40,752;-89,6154
Tallahassee;FL;Florida;Leon;30,4551;-84,2527
Killeen;TX;Texas;Bell;31,0753;-97,7297
St. Petersburg;FL;Florida;Pinellas;27,7931;-82,6652
Kennewick;WA;Washington;Benton;46,1978;-119,1732
Columbus;GA;Georgia;Muscogee;32,51;-84,8771
Laredo;TX;Texas;Webb;27,5625;-99,4874
Irving;TX;Texas;Dallas;32,8583;-96,9702
Round Lake Beach;IL;Illinois;Lake;42,3791;-88,0811
