"year","month","state","handgun_unadjusted","long_gun_unadjusted","total_unadjusted","handgun_adjusted","long_gun_adjusted","total_adjusted"
2025,"01","Hawaii",0,0,0,,,
2025,"01","Virgin Islands",35,3,38,,,
2025,"01","Mariana Islands",11,7,18,,,
2022,"01","Alabama",20296,14904,35200,22650,16976,39626
2021,"01","Alabama",38644,27550,66194,43260,32083,75343
2013,"01","Alabama",30461,25553,56014,32098,29137,61235
2007,"01","Alabama",10110,10888,20998,8745,11411,20156
2018,"01","Alabama",6578,7136,13714,7473,8521,15994
2023,"01","Alabama",23177,16188,39365,25773,17789,43562
2025,"01","Alabama",18928,16005,34933,20751,16945,37697
2020,"01","Alabama",25837,14969,40806,29156,17667,46823
2024,"01","Alabama",18985,15923,34907,20976,17073,38049
2010,"01","Alabama",10913,11658,22571,10267,12887,23155
2014,"01","Alabama",14249,14710,28960,15397,16619,32016
2017,"01","Alabama",7753,7535,15288,8790,8897,17687
2009,"01","Alabama",14363,14674,29037,13020,15677,28696
2019,"01","Alabama",7624,6344,13968,8650,7532,16182
2016,"01","Alaska",3325,2650,5975,4467,4063,8530
2013,"01","Alaska",5552,4991,10542,6846,7251,14097
2020,"01","Alaska",2522,1838,4360,3614,2875,6489
2021,"01","Alaska",4676,4220,8896,6608,6418,13025
2024,"01","Alaska",2421,2116,4538,3266,2970,6236
2017,"01","Alaska",2370,1934,4304,3298,3041,6339
2009,"01","Alaska",2200,2394,4594,2645,3515,6159
2015,"01","Alaska",2801,2373,5173,3627,3549,7177
2011,"01","Alaska",2092,2200,4292,2532,3183,5714
2019,"01","Alaska",2218,2006,4224,3195,3196,6391
2014,"01","Alaska",2336,2484,4820,2927,3641,6567
2018,"01","Alaska",2179,1934,4113,3105,3079,6183
2010,"01","Alaska",1806,2114,3920,2164,3076,5241
2023,"01","Alaska",2830,2141,4971,3874,3074,6948
2022,"01","Alaska",2640,2226,4866,3669,3279,6948
2025,"01","Alaska",2735,2291,5026,3661,3177,6838
2002,"01","Alaska",846,1321,2167,1118,2124,3242
2016,"01","Arizona",17952,9996,27948,18351,11177,29528
2022,"01","Arizona",21220,10574,31794,21074,11548,32622
2019,"01","Arizona",13624,8294,21918,13719,9408,23126
2021,"01","Arizona",34244,17848,52092,33977,19780,53757
2025,"01","Arizona",21138,11653,32791,21317,12264,33581
2003,"01","Arizona",4646,4728,9374,4606,5188,9795
2000,"01","Arizona",6596,5497,12092,6652,6106,12758
2018,"01","Arizona",13409,8275,21684,13655,9385,23041
2001,"01","Arizona",5874,5532,11406,5898,6134,12032
2024,"01","Arizona",21120,11970,33090,21263,12752,34015
2020,"01","Arizona",17763,8920,26683,17713,10030,27743
2012,"01","Arizona",10990,8129,19119,10511,8354,18865
2010,"01","Arizona",7439,6008,13448,7084,6167,13252
2009,"01","Arizona",9754,7926,17679,9385,8237,17622
2002,"01","Arizona",5612,5743,11355,5595,6342,11936
2013,"01","Arizona",22236,15346,37583,21588,16013,37601
